,0
730,Since Adam Was A Boy
731,Sink Or Swim! 
732,Six Of One And Half A Dozen Of The Other
733,Slow And Steady Wins The Race
734,Slow But Sure
735,Small Rain Lays Great Dust
736,"So Many Countries, So Many Customs"
737,Soft Fire Makes Sweet Malt
738,Something Is Rotten In The State Of Denmark 
739,"Soon Learnt, Soon Forgotten"
740,"Soon Ripe, Soon Rotten"
741,Speak (Talk) Of The Devil And He Will Appear (Is Sure To Appear)
742,Speech Is Silver But Silence Is Gold
743,Standers-By See More Than Gamesters
744,Still Waters Run Deep
745,Stolen Pleasures Are Sweetest
746,Stretch Your Arm No Further Than Your Sleeve Will Reach
747,Stretch Your Legs According To The Coverlet
748,Strike While The Iron Is Hot
749,Stuff Today And Starve Tomorrow
750,Success Is Never Blamed
751,"Such Carpenters, Such Chips"
752,Sweep Before Your Own Door
753,Take Care Of The Pence And The Pounds Will Take Care Of Themselves
754,Take Us As You Find Us
755,Tarred With The Same Brush
756,Tastes Differ
757,Tell That To The Marines
758,That Cock Won't Fight
759,That Which One Least Anticipates Soonest Comes To Pass
760,That's A Horse Of Another Colour
761,That's Where The Shoe Pinches! 
762,The Beggar May Sing Before The Thief (Before A Footpad)
763,The Best Fish Smell When They Are Three Days Old
764,The Best Fish Swim Near The Bottom
765,The Best Is Oftentimes The Enemy Of The Good
766,The Busiest Man Finds The Most Leisure
767,The Camel Going To Seek Horns Lost His Ears
768,The Cap Fits
769,The Cask Savours Of The First Fill
770,The Cat Shuts Its Eyes When Stealing Cream
771,The Cat Would Eat Fish And Would Not Wet Her Paws
772,The Chain Is No Stronger Than Its Weakest Link
773,The Cobbler Should Stick To His Last
774,The Cobbler's Wife Is The Worst Shod
775,The Darkest Hour Is That Before The Dawn
776,The Darkest Place Is Under The Candlestick
777,The Devil Is Not So Black As He Is Painted
778,The Devil Knows Many Things Because He Is Old
779,The Devil Lurks Behind The Cross
780,The Devil Rebuking Sin
781,"The Dogs Bark, But The Caravan Goes On"
782,The Dutch Have Taken Holland ! 
783,The Early Bird Catches The Worm
784,The End Crowns The Work
785,The End Justifies The Means
786,The Evils We Bring On Ourselves Are Hardest To Bear
787,The Exception Proves The Rule
788,The Face Is The Index Of The Mind
789,The Falling Out Of Lovers Is The Renewing Of Love
790,The Fat Is In The Fire
791,The First Blow Is Half The Battle
792,The Furthest Way About Is The Nearest Way Home
793,The Game Is Not Worth The Candle
794,The Heart That Once Truly Loves Never Forgets
795,"The Higher The Ape Goes, The More He Shows His Tail"
796,The Last Drop Makes The Cup Run Over
797,The Last Straw Breaks The Camel's Back
798,The Leopard Cannot Change Its Spots
799,The Longest Day Has An End
800,The Mill Cannot Grind With The Water That Is Past
801,The Moon Does Not Heed The Barking Of Dogs
802,The More The Merrier
803,The Morning Sun Never Lasts A Day
804,The Mountain Has Brought Forth A Mouse
805,"The Nearer The Bone, The Sweeter The Flesh"
806,The Pitcher Goes Often To The Well But Is Broken At Last
807,The Pot Calls The Kettle Black
808,The Proof Of The Pudding Is In The Eating
809,The Receiver Is As Bad As The Thief
810,The Remedy Is Worse Than The Disease
811,The Rotten Apple Injures Its Neighbours
812,The Scalded Dog Fears Cold Water
813,The Tailor Makes The Man
814,The Tongue Of Idle Persons Is Never Idle
815,The Voice Of One Man Is The Voice Of No One
816,The Road To Hell Is Paved With Good Intentions
817,The Wind Cannot Be Caught In A Net
818,The Work Shows The Workman
819,There Are Lees To Every Wine
820,There Are More Ways To The Wood Than One
821,"There Is A Place For Everything, And Everything In Its Place"
822,There Is More Than One Way To Kill A Cat
823,There Is No Fire Without Smoke
824,There Is No Place Like Home
825,There Is No Rose Without A Thorn
826,There Is No Rule Without An Exception
827,There's Many A Slip 'Tween (== Between) The Cup And The Lip
828,They Are Hand And Glove
829,They Must Hunger In Winter That Will Not Work In Summer
830,Things Past Cannot Be Recalled
831,Think Today And Speak Tomorrow
832,Those Who Live In Glass Houses Should Not Throw Stones
833,Time And Tide Wait For No Man
834,Time Cures All Things
835,Time Is Money
836,Time Is The Great Healer
837,Time Works Wonders
838,To Add Fuel (Oil) To The Fire (Flames)
839,To Angle With A Silver Hook
840,To Be Born With A Silver Spoon In One's Mouth
841,To Be Head Over Ears In Debt
842,To Be In One's Birthday Suit
843,To Be Up To The Ears In Love
844,To Be Wise Behind The Hand
845,To Beat About The Bush
846,To Beat The Air
847,To Bring Grist To Somebody's Mill
848,To Build A Fire Under Oneself
849,To Buy A Pig In A Poke
850,To Call A Spade A Spade
851,To Call Off The Dogs
852,To Carry Coals To Newcastle
853,To Cast Pearls Before Swine
854,To Cast Prudence To The Winds
855,To Come Away None The Wiser
856,To Come Off Cheap
857,To Come Off With A Whole Skin
858,To Come Off With Flying Colours
859,To Come Out Dry
860,To Come Out With Clean Hands
861,To Cook A Hare Before Catching Him
862,To Cry With One Eye And Laugh With The Other
863,To Cut One's Throat With A Feather
864,To Draw (Pull) In One's Horns
865,To Drop A Bucket Into An Empty Well
866,To Draw Water In A Sieve
867,To Eat The Calf In The Cow's Belly
868,To Err Is Human
869,To Fiddle While Rome Is Burning
870,To Fight With One's Own Shadow
871,To Find A Mare's Nest
872,To Fish In Troubled Waters
873,To Fit Like A Glove
874,To Flog A Dead Horse
875,To Get Out Of Bed On The Wrong Side
876,To Give A Lark To Catch A Kite
877,To Go For Wool And Come Home Shorn
878,To Go Through Fire And Water (Through Thick And Thin)
879,To Have A Finger In The Pie
880,To Have Rats In The Attic
881,To Hit The Nail On The Head
882,To Kick Against The Pricks
883,To Kill Two Birds With One Stone
884,To Know Everything Is To Know Nothing
885,To Know On Which Side One's Bread Is Buttered
886,To Know What's What
887,To Lay By For A Rainy Day
888,To Live From Hand To Mouth
889,To Lock The Stable-Door After The Horse Is Stolen
890,To Look For A Needle In A Haystack
891,To Love Somebody (Something) As The Devil Loves Holy Water
892,To Make A Mountain Out Of A Molehill
893,To Make Both Ends Meet
894,To Make The Cup Run Over
895,To Make (To Turn) The Air Blue
896,To Measure Another Man's Foot By One's Own Last
897,To Measure Other People's Corn By One's Own Bushel
898,To Pay One Back In One's Own Coin
899,To Plough The Sand
900,To Pour Water Into A Sieve
901,To Pull The Chestnuts Out Of The Fire For Somebody
902,To Pull The Devil By The Tail
903,To Put A Spoke In Somebody's Wheel
904,To Put Off Till Doomsday
905,To Put (Set) The Cart Before The Horse
906,To Rob One's Belly To Cover One's Back
907,To Roll In Money
908,To Run With The Hare And Hunt With The Hounds
909,To Save One's Bacon
910,To Send (Carry) Owls To Athens 
911,To Set The Wolf To Keep The Sheep
912,To Stick To Somebody Like A Leech
913,To Strain At A Gnat And Swallow A Camel
914,To Take Counsel Of One's Pillow
915,To Take The Bull By The Horns
916,To Teach The Dog To Bark
917,To Tell Tales Out Of School
918,To Throw A Stone In One's Own Garden
919,To Throw Dust In Somebody's Eyes
920,To Throw Straws Against The Wind
921,To Treat Somebody With A Dose Of His Own Medicine
922,To Use A Steam-Hammer To Crack Nuts
923,To Wash One's Dirty Linen In Public
924,To Wear One's Heart Upon One's Sleeve
925,To Weep Over An Onion
926,To Work With The Left Hand
927,Tomorrow Come Never
928,Too Many Cooks Spoil The Broth
929,Too Much Knowledge Makes The Head Bald
930,Too Much Of A Good Thing Is Good For Nothing
931,Too Much Water Drowned The Miller 
932,Too Swift Arrives As Tardy As Too Slow
933,True Blue Will Never Stain
934,True Coral Needs No Painter's Brush
935,Truth Comes Out Of The Mouths Of Babes And Sucklings
936,Truth Is Stranger Than Fiction
937,Truth Lies At The Bottom Of A Well
938,Two Blacks Do Not Make A White
939,Two Heads Are Better Than One
940,"Two Is Company, three is a crowd"
941,Velvet Paws Hide Sharp Claws
942,Virtue Is Its Own Reward
943,Wait For The Cat To Jump
944,Walls Have Ears
945,Wash Your Dirty Linen At Home
946,"Waste Not, Want Not"
947,We Know Not What Is Good Until We Have Lost It
948,We Never Know The Value Of Water Till The Well Is Dry
949,We Shall See What We Shall See
950,We Soon Believe What We Desire
951,Wealth Is Nothing Without Health
952,Well Begun Is Half Done
953,"What Can't Be Cured, Must Be Endured"
954,What Is Bred In The Bone Will Not Go Out Of The Flesh
955,What Is Done By Night Appears By Day
956,What Is Done Cannot Be Undone
957,What Is Got Over The Devil's Back Is Spent Under His Belly
958,What Is Lost Is Lost
959,What Is Sauce For The Goose Is Sauce For The Gander
960,What Is Worth Doing At Alt Is Worth Doing Well
961,"What Must Be, Must Be"
962,What The Heart Thinks The Tongue Speaks
963,What We Do Willingly Is Easy
964,"When Angry, Count A Hundred"
965,"When At Rome, Do As The Romans Do"
966,"When Children Stand Quiet, They Have Done Some Harm"
967,"When Flatterers Meet, The Devil Goes To Dinner"
968,When **** Speak It Is Too Late To Argue
969,When Pigs Fly
970,When Queen Anne Was Alive
971,"When The Cat Is Away, The Mice Will Play"
972,When The Devil Is Blind
973,"When The Fox Preaches, Take Care Of Your Geese"
974,"When The Pinch Comes, You Remember The Old Shoe"
975,"When Three Know It, Alt Know It"
976,When Wine Is In Wit Is Out
977,"Where There's A Will, There's A Way"
978,While The Grass Grows The Horse Starves
979,While There Is Life There Is Hope
980,"Who Breaks, Pays"
981,"Who Has Never Tasted Bitter, Knows Not What Is Sweet"
982,"Who Keeps Company With The Wolf, Will Learn To Howl"
983,Wise After The Event
984,With Time And Patience The Leaf Of The Mulberry Becomes Satin
985,Words Pay No Debts
986,You Can Take A Horse To The Water But You Cannot Make Him Drink
987,You Cannot Eat Your Cake And Have It
988,You Cannot Flay The Same Ox Twice
989,You Cannot Judge A Tree By It Bark
990,You Cannot Teach Old Dogs New Tricks
991,You Cannot Wash Charcoal White
992,"You Made Your Bed, Now Lie In It"
993,Zeal Without Knowledge Is A Runaway Horse
994,A broken clock is right twice a day
995,A journey of a thousand miles begins with a single step
996,All is fair in love and war
997,Better safe than sorry
998,Don't judge a man until you have walked a mile in his shoes
999,Don't put the cart before the horse
1000,Don't talk the talk if you can't walk the walk
1001,Don't throw out the baby with the bath water
1002,"Give a man a fish, he eats for a day. Teach a man how to fish, he eats for a lifetime"
1003,Great minds think alike
1004,Hindsight is 20/20
1005,"If at first you don't succeed, try, try again"
1006,"If you snooze, you lose"
1007,"If you don't have anything nice to say, don't say anything at all"
1008,"If you're not part of the solution, you're part of the problem"
1009,It's not over until the fat lady sings
1010,Knowledge is power
1011,Misery loves company
1012,"Power corrupts, and absolute power corrupts absolutely"
1013,The apple doesn't fall far from the tree
1014,The best way to a man's heart is through his stomach
1015,There's no such thing as bad publicity
1016,What goes around comes around
1017,What goes up must come down
1018,You can catch more flies with honey than with vinegar
